id,source,job_title,company,country_code,country_name,salary_eur,currency,experience_level,skills,skills_count,data_source,collected_at
kaggle_survey_14275,kaggle_survey,Project Manager,Survey_Company_75,IT,Italy,57211.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.410511
kaggle_survey_24133,kaggle_survey,Collections Strategist,Survey_Company_33,IT,Italy,56000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.410511
kaggle_survey_9502,kaggle_survey,Assistant Librarian,Survey_Company_2,IE,Ireland,41428.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.410511
kaggle_survey_1045,kaggle_survey,Art Coordinator,Survey_Company_45,IT,Italy,31200.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.411509
kaggle_survey_19287,kaggle_survey,Paralegal,Survey_Company_87,GB,United Kingdom,25000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.411509
kaggle_survey_15220,kaggle_survey,Data Analyst,Survey_Company_20,IT,Italy,90000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.411509
kaggle_survey_18891,kaggle_survey,Data Engineer,Survey_Company_91,GB,United Kingdom,31930.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.411509
kaggle_survey_18868,kaggle_survey,Head of Eccomerce,Survey_Company_68,UK,United Kingdom,24900.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.412508
kaggle_survey_4405,kaggle_survey,Medical Education Coordinator,Survey_Company_5,IT,Italy,52000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.413510
kaggle_survey_16358,kaggle_survey,Data Engineer,Survey_Company_58,GB,United Kingdom,66000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.413510
kaggle_survey_12163,kaggle_survey,Director,Survey_Company_63,IT,Italy,74000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.413510
kaggle_survey_7724,kaggle_survey,Communications Coordinator,Survey_Company_24,GB,United Kingdom,31831.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.413510
kaggle_survey_12698,kaggle_survey,"Vice President, Senior Counsel",Survey_Company_98,IT,Italy,142000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.413510
kaggle_survey_4097,kaggle_survey,Accountant,Survey_Company_97,IT,Italy,31000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.414508
kaggle_survey_23366,kaggle_survey,DevSecOps,Survey_Company_66,IT,Italy,180000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.414508
kaggle_survey_3169,kaggle_survey,Data Engineer,Survey_Company_69,IT,Italy,116000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.414508
kaggle_survey_24785,kaggle_survey,Data Scientist,Survey_Company_85,IT,Italy,91200.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.414508
kaggle_survey_3589,kaggle_survey,Data Engineer,Survey_Company_89,IT,Italy,108000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.414508
kaggle_survey_25606,kaggle_survey,Director General,Survey_Company_6,UK,United Kingdom,115000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.415540
kaggle_survey_9798,kaggle_survey,Vice President of Operations,Survey_Company_98,IT,Italy,175000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.415540
kaggle_survey_23907,kaggle_survey,Compliance Manager,Survey_Company_7,IT,Italy,93400.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.415540
kaggle_survey_13725,kaggle_survey,Data Engineer,Survey_Company_25,IT,Italy,85000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.415540
kaggle_survey_15181,kaggle_survey,Account Executive,Survey_Company_81,IT,Italy,75000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.415540
kaggle_survey_22038,kaggle_survey,Development Coordinator,Survey_Company_38,IT,Italy,37500.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.418546
kaggle_survey_13862,kaggle_survey,US Service Delivery Team Lead,Survey_Company_62,IT,Italy,86000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.418546
kaggle_survey_17219,kaggle_survey,Archivist/Records Manager,Survey_Company_19,IT,Italy,55000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.418546
kaggle_survey_19511,kaggle_survey,Data Engineer,Survey_Company_11,GB,United Kingdom,115000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.419544
kaggle_survey_18955,kaggle_survey,In house executive recruiter,Survey_Company_55,GB,United Kingdom,52000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.419544
kaggle_survey_5252,kaggle_survey,Data Analyst,Survey_Company_52,IT,Italy,105426.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.419544
kaggle_survey_17963,kaggle_survey,Data Analyst,Survey_Company_63,IT,Italy,60650.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.420540
kaggle_survey_5191,kaggle_survey,Project Manager,Survey_Company_91,IT,Italy,102000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.420540
kaggle_survey_23789,kaggle_survey,Manager People Analytics,Survey_Company_89,IT,Italy,140000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.420540
kaggle_survey_26174,kaggle_survey,Data Analyst,Survey_Company_74,UK,United Kingdom,42000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.420540
kaggle_survey_6225,kaggle_survey,External Relations Coordinator,Survey_Company_25,IT,Italy,71500.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.420540
kaggle_survey_19775,kaggle_survey,Ebook Coder,Survey_Company_75,IT,Italy,39520.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.421537
kaggle_survey_15548,kaggle_survey,Software Developer,Survey_Company_48,IT,Italy,83500.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.421537
kaggle_survey_4303,kaggle_survey,Grant Management Specialist,Survey_Company_3,IT,Italy,70000.0,EUR,Survey_Response,Data Analysis;Statistics;Programming,3,kaggle_ml_survey,2025-07-02T11:14:47.421537
